n,sessions,vlink_number,vlink_rate,throughput,vlink_throughput,generation_latency_max,generation_latency_min,generation_latency_agg,generation_latency_avg,vlink_generation_latency_max,vlink_generation_latency_min,vlink_generation_latency_agg,vlink_generation_latency_avg,fidelity_avg,fidelity_loss_avg,vlink_fidelity_avg,vlink_fidelity_loss_avg,swaps,c_message_count,q_message_count,vlink_swaps,vlink_c_message_count,vlink_q_message_count
50,5,2,50,69.02485524173893,81.88235670360332,0.01805820699999927,0.009902434000000682,18.109418638000015,0.014487534910400012,0.017761997999999224,6.0048000000000046e-05,12.212643117000002,0.012212643117000002,0.9404939240234096,0.06535563691325441,0.9433978163294353,0.06784436119211645,3.2,11750,5250,2.6,8201,3400
75,7,2,50,55.530485994727,76.73975767439319,0.02432392299999897,0.009811771000000746,34.66564294400002,0.018008126204675335,0.024276527999999686,0.010049602999999685,15.637265954000014,0.013031054961666679,0.9258195129100493,0.0862540695522227,0.9390576867120637,0.07939947852558948,4.0,22275,10175,2.998126171143036,13201,4600
100,10,3,50,52.67883014671824,53.87239052914757,0.03101320800000007,0.010086024999999665,67.87047908899996,0.01898295761722221,0.030847362000001155,5.1707999999997534e-05,37.12476799999998,0.01856238399999999,0.9210412662435207,0.0940685472390057,0.9210420308874732,0.091250060979162,3.8333333333333335,36600,16800,3.8333333333333335,24400,10400
125,12,5,50,52.67060753560662,57.01760442823625,0.02464832899999969,0.009971369999998814,74.04509236700002,0.018985921119743596,0.024685225000000033,4.6326999999998786e-05,38.58457439700003,0.017538442907727287,0.9209487355195433,0.08458166674569245,0.9240423025076592,0.08737467114261788,4.0,47450,21775,3.9285714285714284,27561,11400
150,15,4,50,55.43779304114533,55.748245004804104,0.025077036000000774,0.006799474000001027,107.32750482299997,0.01803823610470588,0.024499586999999323,0.006685982000000479,61.331885918999944,0.017937784407631576,0.9249783117125401,0.08558935836966208,0.924978834267266,0.08688360119445926,3.526315789473684,59850,27300,3.3684210526315788,34200,15600
175,17,3,50,42.053786575300016,50.12999386850558,0.03437599299999761,0.013036793000001268,151.59158114300007,0.02377907155184315,0.086239795,4.269400000000978e-05,55.85478440999998,0.019948137289285708,0.9009227767469109,0.1113677190177107,0.9029462948813459,0.10373155979099702,4.6521739130434785,96375,45000,3.347826086956522,37319,15600
200,20,6,50,45.86598801610948,49.07929271760137,0.0343932020000004,0.009996627000001368,174.421185415,0.021802648176874998,0.077191297,3.704300000000049e-05,52.975498546000004,0.02037519174846154,0.9091756710148113,0.10674094921705712,0.904537347478621,0.14203773676211362,4.846153846153846,111200,51600,3.3461538461538463,40208,17800
225,22,8,50,45.00593921768856,41.49872177829847,0.034851445000001036,0.006876056999999491,244.82215222399986,0.02221928966226246,0.093727266,4.284200000000127e-05,110.84678763299995,0.024097127746304337,0.9079190924324908,0.10614871398210723,0.893303328183599,0.12245442422735942,4.8076923076923075,134300,62475,3.3076923076923075,46165,19613
250,25,7,50,41.02682805933162,52.178418279513544,0.034962745000001405,0.013176764000000674,274.21081599900015,0.02437429475546668,0.056211085,5.2233999999998226e-05,72.82704469199996,0.01916501176105262,0.8984069065447781,0.117646722036987,0.9058844433949068,0.1294060238920266,5.575757575757576,174150,81450,3.7037037037037037,53409,23600
275,27,7,50,40.4642498600178,43.57109488309394,0.03773345500000147,0.009948506000000634,340.4239556559999,0.024713172824392008,0.042947583,0.01001983899999992,114.04492351300003,0.02295099544051189,0.8971787187240904,0.1092963027354541,0.898663588182174,0.11483521466825009,5.548387096774194,197125,92150,4.3866129032258065,69416,30872
300,30,7,50,39.98101986251596,45.902504202728096,0.041077882999999815,0.013048223000000192,400.18989147899987,0.02501186821743749,0.065830396,0.011431699999999267,148.140065953,0.021785303816617647,0.896117539905226,0.11041026258406894,0.8970212284264568,0.1050356445646099,4.875,240000,112500,3.9920980487018225,66514,27656
325,32,8,50,49.400436983567566,52.17392391351833,0.03436757100000065,0.009631683999998586,361.33283610300003,0.020242735916134454,0.032906159,0.008346326999999931,122.66664111,0.0191666626734375,0.9158101385920397,0.09058666806657423,0.9174078943034505,0.1308774312719837,4.647058823529412,216300,99750,3.5631248214795774,68459,28654
350,35,8,50,39.6993371216312,42.802500047875974,0.040930242000001726,0.009924490999999591,547.2062635430002,0.025189337467680897,0.047437918,0.008297073999997906,185.23019822699996,0.023363121286875014,0.8953077410781403,0.1143592646419962,0.8968749433532253,0.13991752194512974,4.73469387755102,305250,143000,4.326530612244898,91086,40084
375,37,7,50,52.275673447566895,53.450219779899605,0.031214157999999992,0.006718675000001895,472.97334246299977,0.019129356621354895,0.03112453000000137,4.810799999999116e-05,142.24450397599995,0.01870899697172168,0.9205282158215096,0.0896645455369861,0.922317974854807,0.08820426852105911,4.023255813953488,262775,120750,3.6755920504581696,84055,36606
400,40,8,50,44.76971843130721,45.523132408651826,0.03439065799999952,0.006833030000002793,589.6842983390003,0.02233652645223486,0.049522771,5.4682999999999815e-05,175.73483143000004,0.021966853928750005,0.9072137331623946,0.09676287687352103,0.9064122462266785,0.12479603098805592,4.384615384615385,343200,159600,3.8598863636363636,93953,37367
425,42,9,50,33.44019569921741,43.072836260284134,0.047448914000000286,0.0068127009999994215,798.3166174409998,0.029904131213664,0.071515085,4.75949999999975e-05,167.15871591299998,0.023216488321249996,0.8765503537887482,0.1351465088121283,0.8886928444544004,0.1530005277625529,6.94,503750,238750,4.0,102017,45000
450,45,8,50,40.71771703241667,40.77636469203346,0.041414161000000005,0.00996503799999715,750.2876444589998,0.02455933369751227,0.110822882,4.540699999999731e-05,206.0016890529999,0.024524010601547606,0.8980945932677307,0.11629186134002378,0.886081055114938,0.16779810679581475,6.0638297872340425,458250,214500,4.569468085106383,113540,48753
475,47,10,50,42.60887847599818,47.78528131046891,0.034504701999999554,0.009875631999999968,804.5053438699999,0.02346928705394829,0.049203432,4.91319999999934e-05,172.697447931,0.020926945966956517,0.9022270271446291,0.10445734477881397,0.9021692744026442,0.10346906069361128,5.452830188679245,485325,226800,4.39622641509434,115008,52200
500,50,12,50,43.263744463685036,46.352214570833496,0.034645786000000456,0.0035202369999964844,867.9071071110001,0.023114041847195763,0.076020998,0.003747236999998904,189.85069174100005,0.02157394224329546,0.9037195989263027,0.10092469149835759,0.9050018310181221,0.09662000461841824,5.444444444444445,516600,240800,4.107142857142857,119806,54800
